"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ CTA|DE(TransnetBW)","Generation - Solar  [MW] Intraday / CTA|DE(TransnetBW)","Generation - Solar  [MW] Current / CTA|DE(TransnetBW)","Generation - Wind Offshore  [MW] Day Ahead/ CTA|DE(TransnetBW)","Generation - Wind Offshore  [MW] Intraday / CTA|DE(TransnetBW)","Generation - Wind Offshore  [MW] Current / CTA|DE(TransnetBW)","Generation - Wind Onshore  [MW] Day Ahead/ CTA|DE(TransnetBW)","Generation - Wind Onshore  [MW] Intraday / CTA|DE(TransnetBW)","Generation - Wind Onshore  [MW] Current / CTA|DE(TransnetBW)"
"01.01.2024 00:00 - 01.01.2024 00:15","0","0","0","n/e","n/e","n/e","1042","963","963"
"01.01.2024 00:15 - 01.01.2024 00:30","0","0","0","n/e","n/e","n/e","1037","953","953"
"01.01.2024 00:30 - 01.01.2024 00:45","0","0","0","n/e","n/e","n/e","1035","958","958"
"01.01.2024 00:45 - 01.01.2024 01:00","0","0","0","n/e","n/e","n/e","1034","952","952"
"01.01.2024 01:00 - 01.01.2024 01:15","0","0","0","n/e","n/e","n/e","1038","945","945"
"01.01.2024 01:15 - 01.01.2024 01:30","0","0","0","n/e","n/e","n/e","1037","949","949"
"01.01.2024 01:30 - 01.01.2024 01:45","0","0","0","n/e","n/e","n/e","1037","963","963"
"01.01.2024 01:45 - 01.01.2024 02:00","0","0","0","n/e","n/e","n/e","1039","949","949"
"01.01.2024 02:00 - 01.01.2024 02:15","0","0","0","n/e","n/e","n/e","1041","959","959"
"01.01.2024 02:15 - 01.01.2024 02:30","0","0","0","n/e","n/e","n/e","1042","978","978"
"01.01.2024 02:30 - 01.01.2024 02:45","0","0","0","n/e","n/e","n/e","1041","970","970"
"01.01.2024 02:45 - 01.01.2024 03:00","0","0","0","n/e","n/e","n/e","1036","981","981"
"01.01.2024 03:00 - 01.01.2024 03:15","0","0","0","n/e","n/e","n/e","1033","999","999"
"01.01.2024 03:15 - 01.01.2024 03:30","0","0","0","n/e","n/e","n/e","1031","995","995"
"01.01.2024 03:30 - 01.01.2024 03:45","0","0","0","n/e","n/e","n/e","1026","967","967"
